2820,SE,4321
2820,S,3662
4821,E,3001
4262,SW,4263
2825,S,4030
2827,S,4051
4273,E,4043
4273,N,4272
2846,E,970
970,W,2846
970,N,3685
3685,S,970
3685,N,2000
2000,W,4043
2000,N,3682
4043,E,2000
4043,W,4273
4321,W,2820
3662,N,2820
3180,S,4057
3180,W,4051
4057,N,3180
4051,E,3180
4051,SW,4030
4030,SW,4321
4321,NE,4030
4321,SW,4335
4321,E,4032
4030,S,4032
3662,NE,4335
3662,SW,3001
3001,NE,3662
3001,E,3002
3002,W,3001
3002,N,3662
4324,E,4034
4034,N,4032
4032,S,4034
4032,W,4321
4032,E,4057
4057,W,4032
4034,W,4324
4057,S,4063
4063,N,4057
4063,W,4034
4034,E,4063
4063,E,2200
2200,W,4063
4063,S,3127
3127,N,4063
3127,E,3126
3126,W,3127
4035,N,4034
4034,S,4035
4035,S,3120
3120,N,4035
4263,W,4262
3001,SW,4262
3001,W,4821
3002,S,4263
4263,N,3002
4263,E,4264
4264,W,4263
4264,S,4270
4270,N,4264
4264,E,4266
4266,W,4264
4266,E,4040
4040,NW,4266
3120,S,4040
4040,N,3120
4272,E,4040
4040,W,4272
3127,W,3122
3122,E,3127
3122,W,3120
3120,E,3122
3122,S,3804
3804,N,3122
3804,W,4040
4040,E,3804
4040,S,4043
4043,N,4040
4040,SE,3812
3812,NW,4040
3812,NE,3804
3804,S,3812
4272,S,4273
4272,W,4270
4270,E,4272
2000,S,3685
3682,S,3685
3682,W,3804
3804,E,3682
3682,N,3126
3126,S,3682
4032,N,4030
4324,W,3662
4324,S,4264
4264,N,4324
3002,E,4035
4035,W,3002
4335,NE,4321
4335,SE,3662
